,Text,Emotion
16384,i feel insulted pete edochie responds to death,anger
16386,i always feel so pressured,fear
16387,i electrocuted my thumb and i cant type too well because i cant really you know feel some of my fingers as an acceptable excuse for a late paper,joy
16388,i carried my phone in my pocket and didn t feel the pull to get lost in it,sadness
16389,i sit here writing this i feel unhappy inside,sadness
16390,i could feel my mother s sympathetic dread as i was diagnosed,love
16391,i get disappointed it makes me feel so rejected especially being disappointed by a loved one,sadness
16392,i left there feeling brow beaten,sadness
16393,i am feeling vulnerable nervous worried anxious and a bit lost,fear
16394,i was feeling defeated i usually pick things up easily this way but i just wasn t getting it,sadness
16395,i am most certainly an acquired taste but lately many of those around me have seemed to feel the taste to be bitter,anger
16396,i feel i am rich because my life both real and online is filled with friends and family with whom i would not want to live without,joy
16397,i feel bad saying this because i should be happy but i dont think this way that im going is for me anymore,sadness
16398,ive been feeling afraid a lot lately,fear
16399,i see momo feel shy momo hmmm gt me heyy momo,fear
16400,i feel amused looking at the little turtle who sneaked in with them,joy
16401,i purple month doesnt feel surprised in fact zhuo feng up many pupils all clear xiao her identity dont even say main star feng of young,surprise
16403,i feel like breathing is as delicate as dried rose petals sometimes,love
16404,im thankful because i feel somewhat energetic instead of the dead fish that i would become every time every chemo,joy
16405,i feel so honored today and i want to share the emotion and my gratitude because i received a very complimentary email from someone who reads thought provoking perspectives,joy
16406,ive tried bare minerals but it makes me feel like my face is dirty,sadness
16407,i feel quite passionate about and that is how old should children be to undergo beauty treatments,joy
16408,i feel like i m going to struggle and fail and suffer and be really dumb,sadness
16409,im feel a little bit shy to talked to her for a second but manage myself because i saw from her eyes that theres something with this girl,fear
16411,i will feel more lively and full of bounce,joy
16412,i am and always have been a very sincere nice feeling sociable compassionate helpful girl,joy
16413,i feel like an obnoxious nagging call times everyday tag alonger that he is finally sick of tolerating and is now just giving the cold shoulder,anger
16414,i loved the feeling i got during an amazing slalom run whether it was in training or in a race,joy
16415,i was feeling especially shy and awkward because i didn t know many people there,fear
16416,im still feeling a little groggy from the lack of sleep so i shall try to replenish it,sadness
16417,i have been sitting at home revising today and all in all feeling quite stressed,anger
16418,i guess feelings aren t meant to be inhibited or prohibited,fear
